name,country,institution,dblp,pid,final_url,expertise
chenliang li,china,wuhan university,https://dblp.org/pers/l/Li:Chenliang.html,52-9457,https://dblp.org/pid/52/9457.html,9
omar chowdhury,united states,university of iowa,https://dblp.org/pid/53/7986.html,53-7986,https://dblp.org/pid/53/7986.html,7
david koop,united states,"{'northern illinois university', 'u mass dartmouth'}",https://dblp.org/pid/54/1720.html,54-1720,https://dblp.org/pid/54/1720.html,4
gautam shroff,india,"tcs research, tata consultancy services",https://dblp.org/pers/hd/s/Shroff:Gautam_M=,54-3265,https://dblp.org/pid/54/3265.html,3
anirban dasgupta,india,"{'iitgn', 'iit gandhinagar'}",https://dblp.org/pid/54/385-1.html,54-385-1,https://dblp.org/pid/54/385-1.html,10
eser kandogan,united states,megagon labs,https://dblp.org/pid/54/6752.html,54-6752,https://dblp.org/pid/54/6752.html,5
saket sathe,australia,ibm research australia,https://dblp.org/pid/55/1967.html,55-1967,https://dblp.org/pid/55/1967.html,5
weining qian,china,east china normal university,https://dblp.org/pid/55/3364.html,55-3364,https://dblp.org/pid/55/3364.html,3
bin cui,china,peking university,https://dblp.org/pid/55/5031.html,55-5031,https://dblp.org/pid/55/5031.html,9
muhammad aamir cheema,australia,monash university,https://dblp.org/pers/c/Cheema:Muhammad_Aamir.html,55-5690,https://dblp.org/pid/55/5690.html,4
emmanuel muller,germany,"{'hasso plattner institute', 'b-it, data science and data engineering'}",https://dblp.uni-trier.de/pid/55/6899.html,55-6899,https://dblp.uni-trier.de/pid/55/6899.html,5
mahardhika pratama,singapore,nanyang technological university,https://dblp.org/pers/p/Pratama:Mahardhika.html,55-9613,https://dblp.org/pid/55/9613.html,4
keping bi,united states,university of massachusetts amherst,https://dblp.org/pers/b/Bi:Keping.html,56-10886,https://dblp.org/pid/56/10886.html,5
yin yang,qatar,hamad bin khalifa university,https://dblp.org/pid/56/2998-1.html,56-2998-1,https://dblp.org/pid/56/2998-1.html,7
ramasuri narayanam,india,"{'ibm research - india', 'ibm irl'}",https://dblp.org/pers/n/Narayanam:Ramasuri.html,56-3378,https://dblp.org/pid/56/3378.html,9
maurizio  hernandez,united states,ibm,https://dblp.org/pid/56/451.html,56-451,https://dblp.org/pid/56/451.html,7
vishwa vinay,india,adobe research,https://dblp.org/pid/56/4585.html,56-4585,https://dblp.org/pid/56/4585.html,5
lina yao,australia,the university of new south wales,https://dblp.org/pid/56/6651.html,56-6651,https://dblp.org/pid/56/6651.html,10
mohammad sadoghi,united states,"{'university of california, davis', 'uc davis'}",https://dblp.org/pid/56/7016.html,56-7016,https://dblp.org/pid/56/7016.html,10
tingwen liu,china,"institute of information engineering, chinese academy of sciences",https://dblp.org/pers/l/Liu:Tingwen.html,56-7911,https://dblp.org/pid/56/7911.html,7
saravanan thirumuruganathan,qatar,"{'qcri, hbku', 'qcri'}",https://dblp.org/pid/57/10514.html,57-10514,https://dblp.org/pid/57/10514.html,10
chuan xiao,japan,osaka university & nagoya university,https://dblp.uni-trier.de/pid/57/4384-1.html,57-4384-1,https://dblp.uni-trier.de/pid/57/4384-1.html,5
nikos bikakis,greece,athena research center,https://dblp.org/pid/57/7247.html,57-7247,https://dblp.org/pid/57/7247.html,3
